defense,level,f1,f1_ci,by,n,top5,top10,entropy,dDownB,dDownB_q1,dDownB_q3,dUpB,dT,dT_q1,dT_q3,n_pages
front,vlow,0.8835810768149853,0.002324231796912149,xgboost,3,0.9317001886151424,0.9487000289711034,5.889684818314763,0.337,0.041,0.596,0.296,0.096,-0.002,0.272,25.0
front,low,0.7244151219559409,0.013631342090369463,xgboost,3,0.8116991063233497,0.8548991371842644,5.044672034310552,0.727,0.083,3.585,0.882,0.072,-0.022,0.78,25.0
front,lomid,0.6405684398482407,0.02224109322759584,robustfp,3,0.8590012270573189,0.9181013182302035,4.4598246237906345,4.783,2.158,7.473,4.935,0.601,0.363,1.23,25.0
front,mid1,0.3921654625064906,0.016913988865530992,robustfp,3,0.7949001858794157,0.9289002085571485,3.4072005571198987,8.973,0.675,16.867,7.158,1.719,0.449,2.256,25.0
front,mid2,0.3204980112361318,0.053827509771047756,robustfp,3,0.7812983457913879,0.9285001385561471,3.4288636665813654,21.547,12.368,27.521,16.21,2.729,1.339,3.415,25.0
h2pc,vlow,0.9440149827473708,0.001819441200881726,xgboost,3,0.9879000797500267,0.9936001098610161,5.874565742539617,0.0,0.0,0.0,0.0,0.046,-0.077,0.093,25.0
h2pc,low,0.9256085883438905,0.004477544311371183,xgboost,3,0.9783001095550468,0.9860000097190283,5.764175774780167,0.0,0.0,0.0,0.0,0.013,-0.071,0.101,25.0
h2pc,lomid,0.82387773228951,0.0034673820496080184,robustfp,3,0.9581999891650832,0.9779996295970329,4.825763803846889,1.464,1.123,1.625,1.42,0.11,0.045,0.229,25.0
h2pc,mid1,0.48520088302342207,0.009332477096862,robustfp,3,0.7500001049895032,0.8341997067133228,2.886301022894435,1.407,1.246,1.613,1.418,0.092,0.016,0.246,25.0
h2pc,high,0.10861081942417483,0.00859410735701554,robustfp,3,0.3089993762423633,0.4435993089410921,0.9882591387900238,2.789,2.505,3.196,2.777,0.231,0.043,0.392,25.0
httpos,vlow,0.9909322821659577,0.0024866484671918474,xgboost,3,0.9956000399080099,0.9963999399340054,6.491516870386653,0.0,0.0,0.0,0.621,0.093,0.06,0.115,25.0
httpos,low,0.9903062941942141,0.0019862845988579346,xgboost,3,0.9951001698850149,0.9965002499050145,6.496125754840427,0.0,0.0,0.0,0.65,0.12,0.079,0.16,25.0
httpos,lomid,0.9938343878706206,0.0015878623443158783,kfp,3,0.994300119874015,0.9947001598780155,6.638156369644193,0.0,0.0,0.0,0.731,0.232,0.185,0.296,25.0
httpos,mid1,0.9908429225869314,0.0001373977186455205,xgboost,3,0.9941998998940086,0.9946999199020081,6.50994200222418,0.0,0.0,0.0,0.555,0.436,0.309,0.572,25.0
httpos,mid2,0.9840818980806817,0.002878234966250897,robustfp,3,0.9988999799800017,0.9991999499890002,6.330700409538799,0.0,0.0,0.0,0.653,0.687,0.556,0.822,25.0
httpos,high,0.9734786832819088,0.003038628868449451,xgboost,3,0.9840998197000265,0.9865999197400243,6.384850325313462,0.0,0.0,0.0,0.697,1.411,1.025,1.851,25.0
llama,vlow,0.9860525704490507,0.004251937599194673,xgboost,3,0.9932998998760104,0.9946998899050072,6.488075178988033,0.0,0.0,0.0,0.0,0.029,-0.028,0.09,25.0
llama,low,0.9497802265940972,0.003920200062412225,xgboost,3,0.9801999996040397,0.9867001997140327,6.123246830828243,0.495,0.33,0.653,0.456,0.096,0.001,0.131,25.0
llama,lomid,0.942765093616559,0.005268180025940338,xgboost,3,0.9758995995580362,0.9838998896890289,5.961951853958023,0.562,0.337,0.744,0.633,0.198,0.04,0.297,25.0
llama,mid1,0.9290341402308787,0.004368095553394076,xgboost,3,0.9757998895270451,0.9847000896850333,5.888270519303533,0.685,0.471,1.013,0.909,0.212,0.06,0.301,25.0
llama,mid2,0.8644229189880156,0.004809094577728772,xgboost,3,0.9481994390200867,0.9673997393740574,5.40355672650263,1.299,1.036,1.477,1.248,0.314,0.227,0.443,25.0
llama,high,0.7558425110309074,0.008683723062251326,xgboost,3,0.9106015280592246,0.9459010688111403,4.645985982941839,2.037,1.502,2.494,1.897,0.534,0.367,0.657,25.0
nop,mid1,0.9954178740683508,0.0010756347520095746,kfp,3,0.9958999499230067,0.9959999599240068,6.6389561496821825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
tamaraw,vlow,0.8296560099372733,0.007962349673395564,xgboost,3,0.9341004586361455,0.9588002891470911,4.796311956770473,1.334,0.335,2.238,1.469,0.488,0.3,0.62,25.0
tamaraw,low,0.7901910102835329,0.007099828904234947,xgboost,3,0.9086993282411625,0.9411991889050931,4.53669816466893,2.67,0.546,5.978,3.044,2.285,0.599,4.334,25.0
tamaraw,lomid,0.710574986623217,0.004902870487810939,xgboost,3,0.8515004769823115,0.8945001878712167,4.118749600775295,6.66,4.227,11.254,5.848,4.522,4.265,5.006,25.0
tamaraw,mid1,0.6444955902792903,0.003833332296132632,xgboost,3,0.7681994654174474,0.8170995263893516,3.881510557857407,8.23,2.263,15.623,10.469,4.674,4.385,5.403,25.0
tamaraw,high,0.40287256223443735,0.0007578635381701626,xgboost,3,0.541500400789929,0.608200412122796,2.478850664821518,26.414,7.455,39.019,28.288,4.979,4.524,5.641,25.0
zz.front,high,0.4567272331731122,0.058658153988548255,robustfp,3,0.900300617944218,0.9727994095150366,3.9739476662151545,,,,,,,,
zz.h2pc,mid2,0.8116297030726206,0.007678462834547858,robustfp,3,0.9464005188761228,0.9689003693410733,4.739888729778183,,,,,,,,
zz.tamaraw,mid2,0.6115338588162305,0.00836131801834114,xgboost,3,0.7222005043935708,0.7730007853814774,3.714776259787135,,,,,,,,
