defense,level,f1,f1_ci,by,n,top5,top10,entropy,dDownB,dDownB_q1,dDownB_q3,dUpB,dT,dT_q1,dT_q3,n_pages
front,vlow,0.9660659492584323,0.00035219185497247434,robustfp,3,0.9921999698470146,0.9944999898910107,6.182253929105652,0.245,0.093,0.763,0.418,0.083,-0.003,0.269,25.0
front,low,0.929902968785136,0.005229387344764484,robustfp,3,0.9774000795400476,0.9848999896990298,5.960835001992437,1.424,0.607,1.75,1.547,0.302,0.16,0.46,25.0
front,lomid,0.5215954472634761,0.0028865319217905422,robustfp,3,0.6372017225717772,0.6889018235956769,3.1686092834942072,2.885,1.842,3.87,3.31,0.349,0.233,0.438,25.0
front,mid1,0.21831666389045068,0.015346450701209142,robustfp,3,0.3593988673012472,0.4367991388221006,1.136924566951645,4.615,1.97,7.212,5.482,0.723,0.387,0.934,25.0
front,mid2,0.06544693591201932,0.003305143012027983,xgboost,3,0.1803999536126378,0.26960029536246966,1.3545365156007334,8.019,4.561,12.84,8.3,0.854,0.507,1.264,25.0
front,high,0.06413256669254985,0.0033327046773123483,xgboost,3,0.17890040353765432,0.2703999554124578,1.3506385307781423,9.223,6.327,12.818,11.822,0.859,0.626,1.063,25.0
h2pc,vlow,0.7791257535626451,0.008914958409603683,xgboost,3,0.8356995567583153,0.8578994072172664,5.584895553317917,0.0,0.0,0.0,0.0,-0.001,-0.077,0.049,25.0
h2pc,low,0.7824567857174878,0.016424811970420308,robustfp,3,0.8933009977662433,0.9219010383341874,4.85211736175145,0.0,0.0,0.0,0.0,-0.007,-0.049,0.049,25.0
h2pc,lomid,0.4037014737644247,0.014951370589663773,robustfp,3,0.6307991626997133,0.7193997444135535,2.3215433578960623,0.763,0.517,1.3,0.793,0.213,0.146,0.373,25.0
h2pc,mid1,0.2898329744560308,0.01004847292823081,robustfp,3,0.5382002807359321,0.6497998630096963,1.602012139685206,0.995,0.683,1.464,0.812,0.308,0.188,0.391,25.0
h2pc,mid2,0.12951564397983897,0.005674995701631343,robustfp,3,0.3613979574322159,0.4896976200319492,1.0817095261089529,1.606,1.13,2.112,1.378,0.465,0.357,0.72,25.0
h2pc,high,0.10548654931726882,0.0064174714271390395,robustfp,3,0.3155004162683815,0.44820099886413356,0.9484748662782237,2.025,1.539,2.35,1.651,0.515,0.424,0.723,25.0
